,Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)",Link clicks,CPC (cost per link click) (USD),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (USD),Landing page views,Content views,Website content views,Checkouts Initiated,Website checkouts initiated,Adds of payment info,Website adds of payment info,Purchase ROAS (return on ad spend),Website purchase ROAS (return on ad spend),Purchases,Website purchases,Date created,Date last edited,Objective,Bid,Bid type,Reporting starts,Reporting ends,Starts
114148,Mini Holiday NEW 2,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,172,1.406977,12.81,Using campaign budget,0,12.81,מתמשך,242,52.933884,2.0,6.405,0.826446,2,0.826446,6.405,2.0,8.0,8.0,,,,,4.039813,4.039813,1.0,1.0,2021-12-16,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-21,2021-12-27,2021-12-16
114180,Mini Holiday NEW 1,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,483,1.585921,36.8,Using campaign budget,0,36.8,מתמשך,766,48.041775,15.0,2.453333,1.958225,22,2.872063,1.672727,12.0,14.0,14.0,4.0,4.0,2.0,2.0,1.40625,1.40625,1.0,1.0,2021-12-16,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-21,2021-12-27,2021-12-16
114276,Mini Holiday 1,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,1697,2.484973,75.215,Using campaign budget,0,150.43,מתמשך,4217,35.672279,32.0,4.700938,0.758833,44,1.043396,3.418864,28.0,66.0,66.0,3.0,3.0,2.0,2.0,1.136741,1.136741,2.0,2.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-21,2021-12-27,2021-12-02
114308,Mini Holiday 3,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,498,1.634538,18.78,Using campaign budget,0,37.56,מתמשך,814,46.142506,12.0,3.13,1.474201,15,1.842752,2.504,8.0,6.0,6.0,2.0,2.0,2.0,2.0,2.755591,2.755591,2.0,2.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-21,2021-12-27,2021-12-02
114748,Mini Holiday NEW 1,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,1862,1.274973,60.23,Using campaign budget,0,60.23,מתמשך,2374,25.370682,47.0,1.281489,1.979781,62,2.611626,0.971452,38.0,22.0,22.0,1.0,1.0,1.0,1.0,0.816205,0.816205,1.0,1.0,2021-12-16,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-21,2021-12-27,2021-12-16
114935,Mini Holiday NEW 2,inactive,7-day click or 1-day view,4.0,actions:offsite_conversion.fb_pixel_purchase,403,2.451613,11.765,Using campaign budget,0,47.06,מתמשך,988,47.631579,23.0,2.046087,2.327935,31,3.137652,1.518065,18.0,27.0,27.0,6.0,6.0,3.0,3.0,4.733319,4.733319,4.0,4.0,2021-12-16,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-12-16
114999,MINI Aboutus Holiday,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,7418,1.067269,351.48,220,Daily,351.48,מתמשך,7917,44.395604,238.0,1.476807,3.006189,383,4.837691,0.917702,189.0,114.0,114.0,2.0,2.0,1.0,1.0,0.147235,0.147235,1.0,1.0,2021-12-15,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-11-01
115031,MINI Aboutus v3 t4 BF,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,0,0.0,0.0,2200,Lifetime,0.0,2021-12-31,0,0.0,,,,0,0.0,0.0,,9.0,9.0,,,,,,,2.0,2.0,2021-12-11,2021-12-15,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-12-11
115063,Mini Holiday 1,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,767,1.795306,56.52,Using campaign budget,0,56.52,מתמשך,1377,41.045752,16.0,3.5325,1.161946,20,1.452433,2.826,10.0,14.0,14.0,3.0,3.0,1.0,1.0,1.043878,1.043878,1.0,1.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-12-02
115223,Mini Holiday 3,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,529,1.298677,8.61,Using campaign budget,0,17.22,מתמשך,687,25.065502,7.0,2.46,1.018923,11,1.601164,1.565455,5.0,1.0,1.0,,,,,,,2.0,2.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-12-02
115286,Mini Holiday 1,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,270,1.4,5.25,Using campaign budget,0,10.5,מתמשך,378,27.777778,5.0,2.1,1.322751,8,2.116402,1.3125,4.0,3.0,3.0,,,,,,,2.0,2.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-12-02
115380,New Post engagement Ad,inactive,7-day click or 1-day view,1321.0,actions:post_engagement,2116,1.006616,0.00757002,10,Lifetime,10.0,2021-12-20,2130,4.694836,,,,5,0.234742,2.0,,,,,,,,,,,,2021-12-16,2024-10-07,Engagement,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-12-16
115411,New Post engagement Ad,inactive,7-day click or 1-day view,1317.0,actions:post_engagement,2128,1.007519,0.00759301,10,Lifetime,10.0,2021-12-20,2144,4.664179,,,,11,0.51306,0.909091,,,,,,,,,,,,2021-12-16,2024-10-07,Engagement,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-12-16
115442,New Post engagement Ad,inactive,7-day click or 1-day view,80.0,actions:post_engagement,961,1.146722,0.125,10,Lifetime,10.0,2021-12-20,1102,9.07441,,,,1,0.090744,10.0,,,,,,,,,,,,2021-12-16,2024-10-07,Engagement,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-12-16
115473,New Post engagement Ad,inactive,7-day click or 1-day view,102.0,actions:post_engagement,1266,1.123223,0.09803922,10,Lifetime,10.0,2021-12-20,1422,7.032349,,,,6,0.421941,1.666667,,,,,,,,,,,,2021-12-16,2024-10-07,Engagement,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-12-16
115504,Mini Holiday NEW 2,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,548,1.888686,21.5,Using campaign budget,0,21.5,מתמשך,1035,20.772947,19.0,1.131579,1.835749,28,2.705314,0.767857,15.0,8.0,8.0,1.0,1.0,1.0,1.0,2.406977,2.406977,1.0,1.0,2021-12-16,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-12-16
115566,Mini Holiday NEW 4,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,328,1.902439,7.32,Using campaign budget,0,14.64,מתמשך,624,23.461538,9.0,1.626667,1.442308,16,2.564103,0.915,7.0,4.0,4.0,2.0,2.0,2.0,2.0,12.363388,12.363388,2.0,2.0,2021-12-16,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-12-16
115659,MINI Aboutus Holiday,inactive,7-day click or 1-day view,4.0,actions:offsite_conversion.fb_pixel_purchase,26192,1.080024,221.6025,2200,Lifetime,886.41,2021-12-31,28288,31.335195,604.0,1.467566,2.135181,1046,3.697681,0.847428,519.0,159.0,159.0,7.0,7.0,5.0,5.0,0.43076,0.43076,4.0,4.0,2021-12-15,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-14,2021-12-20,2021-12-11
115818,MINI Aboutus v3 t4 BF,inactive,7-day click or 1-day view,7.0,actions:offsite_conversion.fb_pixel_purchase,8070,1.045601,58.42,2200,Lifetime,408.94,2021-12-31,8438,48.464091,288.0,1.419931,3.413131,483,5.724105,0.846667,235.0,111.0,111.0,4.0,4.0,3.0,3.0,0.383919,0.383919,7.0,7.0,2021-12-11,2021-12-15,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-07,2021-12-13,2021-12-11
115850,Mini Holiday 1,inactive,7-day click or 1-day view,3.0,actions:offsite_conversion.fb_pixel_purchase,1788,3.409396,86.95333333,Using campaign budget,0,260.86,מתמשך,6096,42.791995,71.0,3.674085,1.164698,95,1.558399,2.745895,60.0,93.0,93.0,1.0,1.0,3.0,3.0,1.150234,1.150234,3.0,3.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-07,2021-12-13,2021-12-02
115914,Mini Holiday 4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,376,2.369681,32.45,Using campaign budget,0,32.45,מתמשך,891,36.419753,3.0,10.816667,0.3367,6,0.673401,5.408333,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.818182,1.818182,1.0,1.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-07,2021-12-13,2021-12-02
115946,Mini Holiday 2,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,601,3.349418,88.37,Using campaign budget,0,88.37,מתמשך,2013,43.899652,22.0,4.016818,1.092896,30,1.490313,2.945667,16.0,23.0,23.0,,,1.0,1.0,1.346611,1.346611,1.0,1.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-07,2021-12-13,2021-12-02
115978,Mini Holiday 4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,458,1.930131,19.08,Using campaign budget,0,19.08,מתמשך,884,21.58371,7.0,2.725714,0.791855,7,0.791855,2.725714,5.0,12.0,12.0,1.0,1.0,1.0,1.0,2.568134,2.568134,1.0,1.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-07,2021-12-13,2021-12-02
116073,Mini Holiday 1,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,1516,1.742084,36.875,Using campaign budget,0,73.75,מתמשך,2641,27.925028,40.0,1.84375,1.514578,60,2.271867,1.229167,36.0,47.0,47.0,,,,,,,2.0,2.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-07,2021-12-13,2021-12-02
116445,MINI Aboutus v3 t4 BF,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,14512,1.089926,273.91,220,Daily,547.82,מתמשך,15817,34.634887,394.0,1.390406,2.490991,587,3.711197,0.933254,319.0,247.0,247.0,2.0,2.0,3.0,3.0,0.142383,0.142383,2.0,2.0,2021-10-31,2021-12-15,CONVERSIONS,0,ABSOLUTE_OCPM,2021-12-07,2021-12-13,2021-11-01
116637,Mini Holiday 1,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,861,2.795587,75.475,Using campaign budget,0,150.95,מתמשך,2407,62.712921,37.0,4.07973,1.537183,56,2.326548,2.695536,37.0,48.0,48.0,2.0,2.0,3.0,3.0,1.112951,1.112951,2.0,2.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-30,2021-12-06,2021-12-02
116669,Mini Holiday 3,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,689,2.751814,117.98,Using campaign budget,0,117.98,מתמשך,1896,62.225738,30.0,3.932667,1.582278,43,2.267932,2.743721,25.0,23.0,23.0,1.0,1.0,1.0,1.0,0.789117,0.789117,1.0,1.0,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-30,2021-12-06,2021-12-02
116891,Petite treeoflife BF,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,0,0.0,0.0,150,Daily,0.0,מתמשך,0,0.0,,,,0,0.0,0.0,,29.0,29.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2021-11-18,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-30,2021-12-06,2021-11-18
117015,Mini BF 2021 mini2b,inactive,7-day click or 1-day view,4.0,actions:offsite_conversion.fb_pixel_purchase,3280,1.626524,49.395,Using campaign budget,0,197.58,מתמשך,5335,37.034677,96.0,2.058125,1.799438,123,2.30553,1.606341,91.0,104.0,104.0,3.0,3.0,2.0,2.0,2.924132,2.924132,4.0,4.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-30,2021-12-06,2021-11-12
117077,Mini BF 2021 mini1,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,269,1.572491,17.76,Using campaign budget,0,17.76,מתמשך,423,41.985816,5.0,3.552,1.182033,6,1.41844,2.96,5.0,5.0,5.0,,,1.0,1.0,,,1.0,1.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-30,2021-12-06,2021-11-12
117108,Mini BF 2021 mini2b,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,469,1.985075,23.225,Using campaign budget,0,46.45,מתמשך,931,49.892589,14.0,3.317857,1.503759,17,1.825994,2.732353,15.0,11.0,11.0,,,,,,,2.0,2.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-30,2021-12-06,2021-11-12
117139,Mini BF 2021 mini2,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,130,1.953846,9.21,Using campaign budget,0,9.21,מתמשך,254,36.259843,,,,2,0.787402,4.605,,2.0,2.0,1.0,1.0,1.0,1.0,15.162866,15.162866,1.0,1.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-30,2021-12-06,2021-11-12
117232,MINI Aboutus v3 t4 BF,inactive,7-day click or 1-day view,17.0,actions:offsite_conversion.fb_pixel_purchase,35298,1.217009,90.51705882,220,Daily,1538.79,מתמשך,42958,35.820802,973.0,1.58149,2.265003,1556,3.622143,0.98894,791.0,506.0,506.0,25.0,25.0,15.0,15.0,1.074741,1.074741,17.0,17.0,2021-10-31,2021-12-15,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-30,2021-12-06,2021-11-01
117678,Petite treeoflife BF,inactive,7-day click or 1-day view,6.0,actions:offsite_conversion.fb_pixel_purchase,16207,1.626458,235.39666667,150,Daily,1412.38,מתמשך,26360,53.580425,90.0,15.693111,0.341426,839,3.182853,1.683409,69.0,155.0,155.0,6.0,6.0,4.0,4.0,0.291706,0.291706,6.0,6.0,2021-11-18,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-23,2021-11-29,2021-11-18
117740,Classique BF1,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,574,4.085366,105.925,60,Daily,211.85,מתמשך,2345,90.341151,30.0,7.061667,1.279318,34,1.449893,6.230882,25.0,31.0,31.0,2.0,2.0,2.0,2.0,0.723389,0.723389,2.0,2.0,2021-11-17,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-23,2021-11-29,2021-11-17
117802,Mini BF 2021 mini2b,inactive,7-day click or 1-day view,18.0,actions:offsite_conversion.fb_pixel_purchase,6535,1.93925,28.39555556,Using campaign budget,0,511.12,מתמשך,12673,40.331413,291.0,1.756426,2.29622,368,2.903811,1.388913,286.0,209.0,209.0,8.0,8.0,9.0,9.0,2.241646,2.241646,18.0,18.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-23,2021-11-29,2021-11-12
117864,Mini BF 2021 mini1,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,878,1.953303,28.48,Using campaign budget,0,56.96,מתמשך,1715,33.212828,15.0,3.797333,0.874636,29,1.690962,1.964138,13.0,25.0,25.0,2.0,2.0,2.0,2.0,7.496489,7.496489,2.0,2.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-23,2021-11-29,2021-11-12
117895,Mini BF 2021 mini2b,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,832,2.616587,102.48,Using campaign budget,0,102.48,מתמשך,2177,47.073955,33.0,3.105455,1.515848,36,1.653652,2.846667,30.0,34.0,34.0,1.0,1.0,1.0,1.0,0.575722,0.575722,1.0,1.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-23,2021-11-29,2021-11-12
118019,MINI Aboutus v3 t4 BF,inactive,7-day click or 1-day view,6.0,actions:offsite_conversion.fb_pixel_purchase,11880,1.090572,91.46833333,220,Daily,548.81,מתמשך,12956,42.359525,334.0,1.643144,2.577956,575,4.438098,0.954452,271.0,146.0,146.0,5.0,5.0,3.0,3.0,0.579071,0.579071,6.0,6.0,2021-10-31,2021-12-15,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-23,2021-11-29,2021-11-01
118465,Petite treeoflife BF,inactive,7-day click or 1-day view,4.0,actions:offsite_conversion.fb_pixel_purchase,8793,1.428978,240.7325,150,Daily,962.93,מתמשך,12565,76.635893,96.0,10.030521,0.764027,351,2.793474,2.74339,94.0,98.0,98.0,5.0,5.0,4.0,4.0,0.427643,0.427643,4.0,4.0,2021-11-18,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-16,2021-11-22,2021-11-18
118527,Classique BF1,inactive,7-day click or 1-day view,3.0,actions:offsite_conversion.fb_pixel_purchase,439,3.954442,52.73333333,60,Daily,158.2,מתמשך,1736,91.129032,59.0,2.681356,3.398618,74,4.262673,2.137838,54.0,39.0,39.0,2.0,2.0,2.0,2.0,2.827118,2.827118,3.0,3.0,2021-11-17,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-16,2021-11-22,2021-11-17
118589,Mini BF 2021 mini2b,inactive,7-day click or 1-day view,7.0,actions:offsite_conversion.fb_pixel_purchase,4122,2.081271,44.46,Using campaign budget,0,311.22,מתמשך,8579,36.276955,242.0,1.286033,2.820842,300,3.496911,1.0374,256.0,204.0,204.0,5.0,5.0,6.0,6.0,1.755318,1.755318,7.0,7.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-16,2021-11-22,2021-11-12
118620,Mini BF 2021 mini2,inactive,7-day click or 1-day view,3.0,actions:offsite_conversion.fb_pixel_purchase,1165,2.006867,21.8,Using campaign budget,0,65.4,מתמשך,2338,27.972626,29.0,2.255172,1.240376,44,1.88195,1.486364,21.0,50.0,50.0,3.0,3.0,3.0,3.0,9.277523,9.277523,3.0,3.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-16,2021-11-22,2021-11-12
118651,Mini BF 2021 mini1,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,557,2.170557,25.885,Using campaign budget,0,51.77,מתמשך,1209,42.820513,19.0,2.724737,1.571547,29,2.398677,1.785172,20.0,31.0,31.0,,,,,,,2.0,2.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-16,2021-11-22,2021-11-12
118713,Mini BF 2021 mini2,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,569,3.29877,58.74,Using campaign budget,0,58.74,מתמשך,1877,31.294619,24.0,2.4475,1.278636,27,1.438466,2.175556,21.0,42.0,42.0,1.0,1.0,1.0,1.0,2.502554,2.502554,1.0,1.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-16,2021-11-22,2021-11-12
118775,Petite treeoflife BF,inactive,7-day click or 1-day view,3.0,actions:offsite_conversion.fb_pixel_purchase,1862,1.599893,64.51,100,Daily,193.53,מתמשך,2979,64.964753,21.0,9.215714,0.704935,66,2.215509,2.932273,18.0,193.0,193.0,3.0,3.0,2.0,2.0,1.551439,1.551439,3.0,3.0,2021-11-10,2024-10-07,CONVERSIONS,170,ABSOLUTE_OCPM,2021-11-16,2021-11-22,2021-11-10
118806,MINI Aboutus v3 t4 BF,inactive,7-day click or 1-day view,7.0,actions:offsite_conversion.fb_pixel_purchase,15295,1.120497,105.80857143,220,Daily,740.66,מתמשך,17138,43.217412,548.0,1.351569,3.197573,861,5.023923,0.860232,432.0,328.0,328.0,5.0,5.0,5.0,5.0,1.092269,1.092269,7.0,7.0,2021-10-31,2021-12-15,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-16,2021-11-22,2021-11-01
119376,Mini BF 2021 mini2b,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,1165,1.691845,71.75,Using campaign budget,0,71.75,מתמשך,1971,36.402841,71.0,1.010563,3.602232,100,5.073567,0.7175,63.0,34.0,34.0,1.0,1.0,1.0,1.0,2.04878,2.04878,1.0,1.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-09,2021-11-15,2021-11-12
119407,Mini BF 2021 mini2,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,181,1.508287,8.81,Using campaign budget,0,8.81,מתמשך,273,32.271062,7.0,1.258571,2.564103,11,4.029304,0.800909,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.561862,5.561862,1.0,1.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-09,2021-11-15,2021-11-12
119438,Mini BF 2021 mini1,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,849,1.453475,31.13,Using campaign budget,0,62.26,מתמשך,1234,50.453809,65.0,0.957846,5.267423,91,7.374392,0.684176,63.0,47.0,47.0,3.0,3.0,2.0,2.0,3.148089,3.148089,2.0,2.0,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-09,2021-11-15,2021-11-12
119562,Petite treeoflife BF,inactive,7-day click or 1-day view,4.0,actions:offsite_conversion.fb_pixel_purchase,6177,1.507042,102.2225,100,Daily,408.89,מתמשך,9309,43.924159,60.0,6.814833,0.644538,256,2.750027,1.597227,56.0,84.0,84.0,4.0,4.0,4.0,4.0,1.274793,1.274793,4.0,4.0,2021-11-10,2024-10-07,CONVERSIONS,170,ABSOLUTE_OCPM,2021-11-09,2021-11-15,2021-11-10
119593,MINI Aboutus v3 t4 BF,inactive,7-day click or 1-day view,16.0,actions:offsite_conversion.fb_pixel_purchase,23400,1.212137,60.02,220,Daily,960.32,מתמשך,28364,33.857002,868.0,1.106359,3.060217,1370,4.830066,0.700964,659.0,485.0,485.0,14.0,14.0,9.0,9.0,0.842428,0.842428,16.0,16.0,2021-10-31,2021-12-15,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-09,2021-11-15,2021-11-01
120380,MINI Aboutus v3 t4 BF,inactive,7-day click or 1-day view,18.0,actions:offsite_conversion.fb_pixel_purchase,27518,1.276219,67.23611111,220,Daily,1210.25,מתמשך,35119,34.461403,1283.0,0.943297,3.653293,2074,5.905635,0.583534,941.0,647.0,647.0,17.0,17.0,10.0,10.0,0.911382,0.911382,18.0,18.0,2021-10-31,2021-12-15,CONVERSIONS,0,ABSOLUTE_OCPM,2021-11-02,2021-11-08,2021-11-01
