Region,Reach,Impressions,Frequency,"Result type",Results,"Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
England,33216,52121,1.56915342,,,,702.21245711,13.47273569,745,0.94256706,1.42936628,2021-10-04,2021-11-03
California,9216,16123,1.74945747,,,,501.87172705,31.12768883,345,1.45470066,2.13980029,2021-10-04,2021-11-03
Florida,5536,9876,1.78395954,,,,305.88057862,30.97211205,256,1.19484601,2.59214257,2021-10-04,2021-11-03
"New York",3808,8329,2.18723739,,,,242.91663486,29.16516207,148,1.64132861,1.776924,2021-10-04,2021-11-03
Pennsylvania,3584,6758,1.88560268,,,,215.46927491,31.88358611,157,1.37241576,2.32317254,2021-10-04,2021-11-03
Texas,4288,7639,1.78148321,,,,202.78049539,26.54542419,135,1.50207774,1.76724702,2021-10-04,2021-11-03
Michigan,2752,5322,1.93386628,,,,166.12402122,31.21458497,116,1.43210363,2.17963172,2021-10-04,2021-11-03
Washington,2912,4608,1.58241758,,,,153.39524555,33.28889877,65,2.35992685,1.41059028,2021-10-04,2021-11-03
"New Jersey",2400,4343,1.80958333,,,,149.31563795,34.38075937,91,1.64083119,2.09532581,2021-10-04,2021-11-03
Illinois,2720,5021,1.84595588,,,,141.86635447,28.25460157,91,1.55897093,1.81238797,2021-10-04,2021-11-03
Virginia,2336,4225,1.80864726,,,,131.86731623,31.21119911,81,1.62799156,1.91715976,2021-10-04,2021-11-03
Ohio,3008,5175,1.72041223,,,,130.76742203,25.26906706,95,1.37649918,1.83574879,2021-10-04,2021-11-03
Massachusetts,2336,4849,2.07577055,,,,130.51744607,26.91636339,82,1.59167617,1.69107032,2021-10-04,2021-11-03
Maryland,1952,3434,1.75922131,,,,128.62762784,37.4570844,84,1.53128128,2.44612697,2021-10-04,2021-11-03
"North Carolina",2624,4536,1.72865854,,,,117.71867713,25.95208931,64,1.83935433,1.41093474,2021-10-04,2021-11-03
Scotland,5248,7719,1.47084604,,,,106.68973796,13.82170462,142,0.75133618,1.83961653,2021-10-04,2021-11-03
Arizona,1792,3295,1.83872768,,,,97.04066606,29.450885,92,1.05478985,2.79210926,2021-10-04,2021-11-03
Georgia,1920,3281,1.70885417,,,,89.38140278,27.24212215,70,1.27687718,2.13349589,2021-10-04,2021-11-03
Colorado,1824,2989,1.63870614,,,,86.31169804,28.87644632,68,1.26928968,2.27500836,2021-10-04,2021-11-03
Missouri,1472,2682,1.82201087,,,,78.07249053,29.10980258,58,1.34607742,2.16256525,2021-10-04,2021-11-03
Minnesota,2400,3269,1.36208333,,,,74.68281657,22.8457683,54,1.38301512,1.65188131,2021-10-04,2021-11-03
Connecticut,1376,2270,1.6497093,,,,71.87308683,31.66215279,49,1.46679769,2.15859031,2021-10-04,2021-11-03
Wisconsin,1728,3042,1.76041667,,,,68.58340325,22.54549745,53,1.29402648,1.74227482,2021-10-04,2021-11-03
Indiana,1440,2644,1.83611111,,,,68.2034398,25.79555212,39,1.74880615,1.47503782,2021-10-04,2021-11-03
"South Carolina",1376,2182,1.58575581,,,,64.37380815,29.50220355,44,1.46304109,2.01649863,2021-10-04,2021-11-03
Tennessee,1440,2315,1.60763889,,,,62.43399473,26.96932818,31,2.01399983,1.33909287,2021-10-04,2021-11-03
Oregon,1728,2806,1.62384259,,,,60.40418997,21.52679614,52,1.16161904,1.85317177,2021-10-04,2021-11-03
Wales,2688,3448,1.2827381,,,,47.15546431,13.67617874,44,1.0717151,1.27610209,2021-10-04,2021-11-03
Iowa,544,1508,2.77205882,,,,44.0657615,29.22132725,32,1.37705505,2.12201592,2021-10-04,2021-11-03
Kentucky,864,1559,1.80439815,,,,42.03595674,26.96341035,27,1.55688729,1.73187941,2021-10-04,2021-11-03
Nevada,512,1192,2.328125,,,,41.75598367,35.03018764,46,0.90773878,3.8590604,2021-10-04,2021-11-03
Louisiana,608,1228,2.01973684,,,,37.3464078,30.41238421,36,1.03740022,2.93159609,2021-10-04,2021-11-03
Maine,800,1170,1.4625,,,,31.57696274,26.98885705,20,1.57884814,1.70940171,2021-10-04,2021-11-03
Kansas,672,1248,1.85714286,,,,31.12700602,24.94151124,21,1.48223838,1.68269231,2021-10-04,2021-11-03
"New Hampshire",544,1133,2.08272059,,,,28.58725031,25.23146541,19,1.50459212,1.67696381,2021-10-04,2021-11-03
Oklahoma,480,1098,2.2875,,,,26.98740419,24.57869234,36,0.74965012,3.27868852,2021-10-04,2021-11-03
Utah,640,1024,1.6,,,,26.43745709,25.81782919,25,1.05749828,2.44140625,2021-10-04,2021-11-03
"Rhode Island",608,667,1.09703947,,,,24.76761771,37.13286013,13,1.90520136,1.94902549,2021-10-04,2021-11-03
Alabama,992,1284,1.29435484,,,,24.50764271,19.08694915,19,1.28987593,1.47975078,2021-10-04,2021-11-03
"West Virginia",608,837,1.37664474,,,,24.35765714,29.10114353,11,2.21433247,1.31421744,2021-10-04,2021-11-03
Nebraska,480,958,1.99583333,,,,24.10768118,25.16459414,14,1.72197723,1.46137787,2021-10-04,2021-11-03
"New Mexico",640,877,1.3703125,,,,19.20815245,21.90211226,13,1.47755019,1.48232611,2021-10-04,2021-11-03
Idaho,576,858,1.48958333,,,,17.97827075,20.95369551,13,1.3829439,1.51515152,2021-10-04,2021-11-03
"Northern Ireland",768,1487,1.93619792,,,,17.27833807,11.6195952,23,0.75123209,1.5467384,2021-10-04,2021-11-03
Montana,352,645,1.83238636,,,,16.51841116,25.60993979,12,1.37653426,1.86046512,2021-10-04,2021-11-03
Hawaii,352,668,1.89772727,,,,16.3984227,24.54853698,15,1.09322818,2.24550898,2021-10-04,2021-11-03
Arkansas,718,718,1,,,,16.09845156,22.42124172,11,1.4634956,1.53203343,2021-10-04,2021-11-03
Vermont,416,589,1.41586538,,,,15.38851984,26.12651926,9,1.70983554,1.52801358,2021-10-04,2021-11-03
Delaware,320,569,1.778125,,,,14.51860352,25.51599915,11,1.31987305,1.93321617,2021-10-04,2021-11-03
Mississippi,544,692,1.27205882,,,,14.09864391,20.37376288,19,0.74203389,2.74566474,2021-10-04,2021-11-03
Alaska,480,602,1.25416667,,,,11.91885358,19.79876009,7,1.70269337,1.1627907,2021-10-04,2021-11-03
Wyoming,352,352,1,,,,9.66906997,27.46894879,5,1.93381399,1.42045455,2021-10-04,2021-11-03
"North Dakota",256,395,1.54296875,,,,7.06932003,17.89701274,6,1.17822001,1.51898734,2021-10-04,2021-11-03
"South Dakota",344,344,1,,,,5.82943929,16.94604445,7,0.83277704,2.03488372,2021-10-04,2021-11-03
"Washington, District of Columbia",32,202,6.3125,,,,4.16959894,20.64157893,,,,2021-10-04,2021-11-03
Unknown,0,2,0,,,,0,0,,,,2021-10-04,2021-11-03
